,Unnamed: 0,z1,z2,z3,z4,z5,z6,z7,z8,z9
0,0,-48.265865,-10.211366,-10.811066,-0.41001013,-5.9919567,-9.465896,-9.723904,-8.149109,-4.7163353
1,1,-48.258358,-10.209756,-10.809546,-0.40971893,-5.990917,-9.464587,-9.722375,-8.147866,-4.7153373
2,2,-48.25088,-10.208149,-10.808027,-0.40942645,-5.989878,-9.46328,-9.720847,-8.146625,-4.7143393
3,3,-48.243423,-10.206544,-10.806511,-0.40913427,-5.98884,-9.461974,-9.719323,-8.145386,-4.713343
4,4,-48.235928,-10.204934,-10.804991,-0.4088433,-5.9877996,-9.460667,-9.7177925,-8.144143,-4.7123446
5,5,-48.22842,-10.203328,-10.8034725,-0.4085506,-5.986761,-9.459359,-9.716264,-8.1428995,-4.711345
6,6,-48.220947,-10.201721,-10.801957,-0.40825808,-5.9857225,-9.4580555,-9.714737,-8.14166,-4.7103496
7,7,-48.21344,-10.2001095,-10.800434,-0.40796703,-5.984682,-9.456745,-9.713204,-8.140417,-4.709349
8,8,-48.205944,-10.198502,-10.798916,-0.4076793,-5.983642,-9.455439,-9.711675,-8.139175,-4.7083526
9,9,-48.19846,-10.196897,-10.7973995,-0.4073877,-5.9826035,-9.454136,-9.710146,-8.137936,-4.707355
10,10,-48.19094,-10.195286,-10.7958765,-0.40709868,-5.9815626,-9.4528265,-9.708613,-8.136691,-4.706354
11,11,-48.18346,-10.193681,-10.794365,-0.40680707,-5.980524,-9.451526,-9.707085,-8.135453,-4.7053585
12,12,-48.17595,-10.192072,-10.792845,-0.40651965,-5.9794836,-9.450217,-9.705555,-8.134212,-4.7043595
13,13,-48.16848,-10.190467,-10.791329,-0.4062289,-5.978445,-9.448914,-9.704025,-8.132973,-4.703361
14,14,-48.16096,-10.188855,-10.78981,-0.40594095,-5.977405,-9.447608,-9.702492,-8.131729,-4.7023625
15,15,-48.15344,-10.187247,-10.788291,-0.40565133,-5.976362,-9.4463005,-9.70096,-8.130486,-4.701363
16,16,-48.145916,-10.185638,-10.786769,-0.40536422,-5.975321,-9.444994,-9.699425,-8.129242,-4.700364
17,17,-48.13843,-10.184032,-10.785254,-0.40507522,-5.9742827,-9.443691,-9.697895,-8.128004,-4.6993647
18,18,-48.130898,-10.182421,-10.783732,-0.40478984,-5.97324,-9.442384,-9.69636,-8.1267605,-4.698365
19,19,-48.123425,-10.180816,-10.782219,-0.40449983,-5.972201,-9.441082,-9.694832,-8.125521,-4.6973677
20,20,-48.115883,-10.179207,-10.780699,-0.40421262,-5.971159,-9.439775,-9.693294,-8.124277,-4.6963696
21,21,-48.10839,-10.177601,-10.779183,-0.40392464,-5.97012,-9.438475,-9.691765,-8.123039,-4.6953726
22,22,-48.100864,-10.175991,-10.777662,-0.40363875,-5.9690785,-9.437167,-9.69023,-8.121796,-4.6943727
23,23,-48.093346,-10.174382,-10.776145,-0.4033529,-5.9680367,-9.4358635,-9.688696,-8.120554,-4.693373
24,24,-48.085823,-10.172773,-10.774626,-0.4030664,-5.9669967,-9.434559,-9.687162,-8.119312,-4.692374
25,25,-48.078304,-10.171165,-10.77311,-0.40278098,-5.965954,-9.433257,-9.685625,-8.118071,-4.6913743
26,26,-48.070786,-10.169558,-10.77159,-0.4024956,-5.964913,-9.431952,-9.6840925,-8.116829,-4.6903753
27,27,-48.063248,-10.167946,-10.770072,-0.4022112,-5.9638705,-9.43065,-9.682555,-8.115587,-4.6893744
28,28,-48.055717,-10.166336,-10.768552,-0.4019258,-5.96283,-9.429343,-9.681018,-8.114346,-4.688377
29,29,-48.048206,-10.164728,-10.7670355,-0.4016423,-5.9617877,-9.42804,-9.679484,-8.113105,-4.6873765
30,30,-48.040665,-10.16312,-10.765515,-0.40135702,-5.960745,-9.426737,-9.677945,-8.111862,-4.6863766
31,31,-48.033146,-10.161511,-10.763999,-0.40107203,-5.9597034,-9.425434,-9.676411,-8.110621,-4.6853766
32,32,-48.025616,-10.159903,-10.762481,-0.40079004,-5.9586625,-9.42413,-9.674872,-8.10938,-4.6843786
33,33,-48.018074,-10.158295,-10.760963,-0.40050435,-5.9576206,-9.422831,-9.673336,-8.108138,-4.683378
34,34,-48.01055,-10.156686,-10.759445,-0.40022242,-5.9565787,-9.421526,-9.6718,-8.106896,-4.6823783
35,35,-48.003017,-10.155077,-10.757928,-0.39994016,-5.955537,-9.420222,-9.670263,-8.105657,-4.681377
36,36,-47.99546,-10.153467,-10.756409,-0.39965656,-5.9544945,-9.418921,-9.668722,-8.104415,-4.6803765
