,Unnamed: 0,z1,z2,z3,z4,z5,z6,z7,z8,z9,weight,k
0,1,0.013555298,0.00619097,0.008564584,-0.002653367,0.0024146675,0.0042319316,-0.0033910046,-0.0010395786,0.0015979421,1.0,1
1,2,-1.9475473,0.0071642892,0.0044734003,-0.0028675015,0.00032887794,0.0019883676,-0.002792085,0.0013116591,-0.00055159675,0.5,2
2,3,0.021663908,-0.35087296,0.007927734,-0.0034953493,0.004815231,0.0077561676,-0.003465977,-0.0022712455,9.334134e-05,0.5,2
3,4,0.015900314,0.0062963236,-0.34393248,-0.002896761,0.0024649838,0.0037324163,-0.004012634,-0.0026766274,0.0010541811,0.5,2
4,5,0.0078489585,0.0065827677,0.007417317,-0.13553949,0.0028521265,0.0022201163,-0.0026446548,-0.0009420143,0.0012435189,0.5,2
5,6,0.0125786215,0.008845345,0.0068534915,-0.001685926,-0.13157925,-0.00013475856,-0.0048762,-0.00018069497,0.00074040634,0.5,2
6,7,0.01393789,0.0064289737,0.009067565,-0.004171905,0.00073641783,-0.35397008,-0.0064228876,-0.0010923843,-0.0017528194,0.5,2
7,8,0.010728915,0.008643631,0.0074207927,-0.0012681604,0.0030793436,0.0045355936,-0.3538047,-0.00042326958,0.0006664039,0.5,2
8,9,0.014411392,0.0062624468,0.0086266305,-0.0038844286,0.002325902,0.0036535312,-0.0050162068,-0.13242102,0.0014982432,0.5,2
9,10,0.015216446,0.0064789206,0.008139646,-0.0026565834,0.0015343964,0.00030542188,-0.0040600495,-0.0005431918,-0.13020834,0.5,2
10,11,0.013555298,0.00619097,0.008564584,-0.002653367,0.0024146675,0.0042319316,-0.0033910046,-0.0010395786,0.0015979421,-8.0,2
11,12,0.0109855635,0.005886422,0.007413028,-0.001941188,0.0026052955,0.006143859,-0.005007055,-0.0013225379,0.13351828,0.5,2
12,13,0.013247527,0.006889849,0.008478604,-0.0018849077,0.0015857694,0.005933913,-0.0034027237,0.13065062,0.0011599041,0.5,2
13,14,0.019184094,0.0051602027,0.0066918274,-0.004187881,0.0017636574,0.003981188,0.3496327,-0.0010072383,-0.00082722993,0.5,2
14,15,0.012809662,0.004567626,0.007768529,-0.0014840589,0.00433056,0.358319,-0.0029122573,0.0018487086,0.0029454976,0.5,2
15,16,0.01738424,0.0049367817,0.008191562,-0.004093702,0.13535136,0.007917478,-0.0036933646,-0.0010825804,0.0018607195,0.5,2
16,17,0.017881544,0.0075402115,0.008473456,0.13130467,0.002045211,0.004129572,-0.0041034007,0.0005233574,0.0032424103,0.5,2
