,z1,z2,z3,z4,z5,z6,z7,z8,z9
0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
1,-9.997999799979999,-9.997999799979999,-9.997999799979999,-9.997999799979999,-9.997999799979999,-9.997999799979999,-9.997999799979999,-9.997999799979999,-9.997999799979999
2,-9.995999599959996,-9.995999599959996,-9.995999599959996,-9.995999599959996,-9.995999599959996,-9.995999599959996,-9.995999599959996,-9.995999599959996,-9.995999599959996
3,-9.993999399939995,-9.993999399939995,-9.993999399939995,-9.993999399939995,-9.993999399939995,-9.993999399939995,-9.993999399939995,-9.993999399939995,-9.993999399939995
4,-9.991999199919992,-9.991999199919992,-9.991999199919992,-9.991999199919992,-9.991999199919992,-9.991999199919992,-9.991999199919992,-9.991999199919992,-9.991999199919992
5,-9.98999899989999,-9.98999899989999,-9.98999899989999,-9.98999899989999,-9.98999899989999,-9.98999899989999,-9.98999899989999,-9.98999899989999,-9.98999899989999
6,-9.987998799879987,-9.987998799879987,-9.987998799879987,-9.987998799879987,-9.987998799879987,-9.987998799879987,-9.987998799879987,-9.987998799879987,-9.987998799879987
7,-9.985998599859986,-9.985998599859986,-9.985998599859986,-9.985998599859986,-9.985998599859986,-9.985998599859986,-9.985998599859986,-9.985998599859986,-9.985998599859986
8,-9.983998399839985,-9.983998399839985,-9.983998399839985,-9.983998399839985,-9.983998399839985,-9.983998399839985,-9.983998399839985,-9.983998399839985,-9.983998399839985
9,-9.981998199819982,-9.981998199819982,-9.981998199819982,-9.981998199819982,-9.981998199819982,-9.981998199819982,-9.981998199819982,-9.981998199819982,-9.981998199819982
10,-9.97999799979998,-9.97999799979998,-9.97999799979998,-9.97999799979998,-9.97999799979998,-9.97999799979998,-9.97999799979998,-9.97999799979998,-9.97999799979998
11,-9.977997799779978,-9.977997799779978,-9.977997799779978,-9.977997799779978,-9.977997799779978,-9.977997799779978,-9.977997799779978,-9.977997799779978,-9.977997799779978
12,-9.975997599759976,-9.975997599759976,-9.975997599759976,-9.975997599759976,-9.975997599759976,-9.975997599759976,-9.975997599759976,-9.975997599759976,-9.975997599759976
13,-9.973997399739973,-9.973997399739973,-9.973997399739973,-9.973997399739973,-9.973997399739973,-9.973997399739973,-9.973997399739973,-9.973997399739973,-9.973997399739973
14,-9.971997199719972,-9.971997199719972,-9.971997199719972,-9.971997199719972,-9.971997199719972,-9.971997199719972,-9.971997199719972,-9.971997199719972,-9.971997199719972
15,-9.969996999699969,-9.969996999699969,-9.969996999699969,-9.969996999699969,-9.969996999699969,-9.969996999699969,-9.969996999699969,-9.969996999699969,-9.969996999699969
16,-9.967996799679968,-9.967996799679968,-9.967996799679968,-9.967996799679968,-9.967996799679968,-9.967996799679968,-9.967996799679968,-9.967996799679968,-9.967996799679968
17,-9.965996599659967,-9.965996599659967,-9.965996599659967,-9.965996599659967,-9.965996599659967,-9.965996599659967,-9.965996599659967,-9.965996599659967,-9.965996599659967
18,-9.963996399639964,-9.963996399639964,-9.963996399639964,-9.963996399639964,-9.963996399639964,-9.963996399639964,-9.963996399639964,-9.963996399639964,-9.963996399639964
19,-9.961996199619962,-9.961996199619962,-9.961996199619962,-9.961996199619962,-9.961996199619962,-9.961996199619962,-9.961996199619962,-9.961996199619962,-9.961996199619962
20,-9.95999599959996,-9.95999599959996,-9.95999599959996,-9.95999599959996,-9.95999599959996,-9.95999599959996,-9.95999599959996,-9.95999599959996,-9.95999599959996
21,-9.957995799579958,-9.957995799579958,-9.957995799579958,-9.957995799579958,-9.957995799579958,-9.957995799579958,-9.957995799579958,-9.957995799579958,-9.957995799579958
22,-9.955995599559955,-9.955995599559955,-9.955995599559955,-9.955995599559955,-9.955995599559955,-9.955995599559955,-9.955995599559955,-9.955995599559955,-9.955995599559955
23,-9.953995399539954,-9.953995399539954,-9.953995399539954,-9.953995399539954,-9.953995399539954,-9.953995399539954,-9.953995399539954,-9.953995399539954,-9.953995399539954
24,-9.951995199519953,-9.951995199519953,-9.951995199519953,-9.951995199519953,-9.951995199519953,-9.951995199519953,-9.951995199519953,-9.951995199519953,-9.951995199519953
25,-9.94999499949995,-9.94999499949995,-9.94999499949995,-9.94999499949995,-9.94999499949995,-9.94999499949995,-9.94999499949995,-9.94999499949995,-9.94999499949995
26,-9.947994799479948,-9.947994799479948,-9.947994799479948,-9.947994799479948,-9.947994799479948,-9.947994799479948,-9.947994799479948,-9.947994799479948,-9.947994799479948
27,-9.945994599459945,-9.945994599459945,-9.945994599459945,-9.945994599459945,-9.945994599459945,-9.945994599459945,-9.945994599459945,-9.945994599459945,-9.945994599459945
28,-9.943994399439944,-9.943994399439944,-9.943994399439944,-9.943994399439944,-9.943994399439944,-9.943994399439944,-9.943994399439944,-9.943994399439944,-9.943994399439944
29,-9.941994199419941,-9.941994199419941,-9.941994199419941,-9.941994199419941,-9.941994199419941,-9.941994199419941,-9.941994199419941,-9.941994199419941,-9.941994199419941
30,-9.93999399939994,-9.93999399939994,-9.93999399939994,-9.93999399939994,-9.93999399939994,-9.93999399939994,-9.93999399939994,-9.93999399939994,-9.93999399939994
31,-9.937993799379939,-9.937993799379939,-9.937993799379939,-9.937993799379939,-9.937993799379939,-9.937993799379939,-9.937993799379939,-9.937993799379939,-9.937993799379939
32,-9.935993599359936,-9.935993599359936,-9.935993599359936,-9.935993599359936,-9.935993599359936,-9.935993599359936,-9.935993599359936,-9.935993599359936,-9.935993599359936
33,-9.933993399339935,-9.933993399339935,-9.933993399339935,-9.933993399339935,-9.933993399339935,-9.933993399339935,-9.933993399339935,-9.933993399339935,-9.933993399339935
34,-9.931993199319932,-9.931993199319932,-9.931993199319932,-9.931993199319932,-9.931993199319932,-9.931993199319932,-9.931993199319932,-9.931993199319932,-9.931993199319932
35,-9.92999299929993,-9.92999299929993,-9.92999299929993,-9.92999299929993,-9.92999299929993,-9.92999299929993,-9.92999299929993,-9.92999299929993,-9.92999299929993
36,-9.927992799279927,-9.927992799279927,-9.927992799279927,-9.927992799279927,-9.927992799279927,-9.927992799279927,-9.927992799279927,-9.927992799279927,-9.927992799279927
37,-9.925992599259926,-9.925992599259926,-9.925992599259926,-9.925992599259926,-9.925992599259926,-9.925992599259926,-9.925992599259926,-9.925992599259926,-9.925992599259926
38,-9.923992399239925,-9.923992399239925,-9.923992399239925,-9.923992399239925,-9.923992399239925,-9.923992399239925,-9.923992399239925,-9.923992399239925,-9.923992399239925
39,-9.921992199219922,-9.921992199219922,-9.921992199219922,-9.921992199219922,-9.921992199219922,-9.921992199219922,-9.921992199219922,-9.921992199219922,-9.921992199219922
40,-9.91999199919992,-9.91999199919992,-9.91999199919992,-9.91999199919992,-9.91999199919992,-9.91999199919992,-9.91999199919992,-9.91999199919992,-9.91999199919992
41,-9.917991799179918,-9.917991799179918,-9.917991799179918,-9.917991799179918,-9.917991799179918,-9.917991799179918,-9.917991799179918,-9.917991799179918,-9.917991799179918
42,-9.915991599159916,-9.915991599159916,-9.915991599159916,-9.915991599159916,-9.915991599159916,-9.915991599159916,-9.915991599159916,-9.915991599159916,-9.915991599159916
43,-9.913991399139913,-9.913991399139913,-9.913991399139913,-9.913991399139913,-9.913991399139913,-9.913991399139913,-9.913991399139913,-9.913991399139913,-9.913991399139913
44,-9.911991199119912,-9.911991199119912,-9.911991199119912,-9.911991199119912,-9.911991199119912,-9.911991199119912,-9.911991199119912,-9.911991199119912,-9.911991199119912
45,-9.90999099909991,-9.90999099909991,-9.90999099909991,-9.90999099909991,-9.90999099909991,-9.90999099909991,-9.90999099909991,-9.90999099909991,-9.90999099909991
46,-9.907990799079908,-9.907990799079908,-9.907990799079908,-9.907990799079908,-9.907990799079908,-9.907990799079908,-9.907990799079908,-9.907990799079908,-9.907990799079908
47,-9.905990599059907,-9.905990599059907,-9.905990599059907,-9.905990599059907,-9.905990599059907,-9.905990599059907,-9.905990599059907,-9.905990599059907,-9.905990599059907
48,-9.903990399039904,-9.903990399039904,-9.903990399039904,-9.903990399039904,-9.903990399039904,-9.903990399039904,-9.903990399039904,-9.903990399039904,-9.903990399039904
49,-9.901990199019902,-9.901990199019902,-9.901990199019902,-9.901990199019902,-9.901990199019902,-9.901990199019902,-9.901990199019902,-9.901990199019902,-9.901990199019902
50,-9.8999899989999,-9.8999899989999,-9.8999899989999,-9.8999899989999,-9.8999899989999,-9.8999899989999,-9.8999899989999,-9.8999899989999,-9.8999899989999
51,-9.897989798979898,-9.897989798979898,-9.897989798979898,-9.897989798979898,-9.897989798979898,-9.897989798979898,-9.897989798979898,-9.897989798979898,-9.897989798979898
52,-9.895989598959895,-9.895989598959895,-9.895989598959895,-9.895989598959895,-9.895989598959895,-9.895989598959895,-9.895989598959895,-9.895989598959895,-9.895989598959895
53,-9.893989398939894,-9.893989398939894,-9.893989398939894,-9.893989398939894,-9.893989398939894,-9.893989398939894,-9.893989398939894,-9.893989398939894,-9.893989398939894
54,-9.891989198919893,-9.891989198919893,-9.891989198919893,-9.891989198919893,-9.891989198919893,-9.891989198919893,-9.891989198919893,-9.891989198919893,-9.891989198919893
55,-9.88998899889989,-9.88998899889989,-9.88998899889989,-9.88998899889989,-9.88998899889989,-9.88998899889989,-9.88998899889989,-9.88998899889989,-9.88998899889989
56,-9.887988798879888,-9.887988798879888,-9.887988798879888,-9.887988798879888,-9.887988798879888,-9.887988798879888,-9.887988798879888,-9.887988798879888,-9.887988798879888
57,-9.885988598859885,-9.885988598859885,-9.885988598859885,-9.885988598859885,-9.885988598859885,-9.885988598859885,-9.885988598859885,-9.885988598859885,-9.885988598859885
58,-9.883988398839884,-9.883988398839884,-9.883988398839884,-9.883988398839884,-9.883988398839884,-9.883988398839884,-9.883988398839884,-9.883988398839884,-9.883988398839884
59,-9.881988198819881,-9.881988198819881,-9.881988198819881,-9.881988198819881,-9.881988198819881,-9.881988198819881,-9.881988198819881,-9.881988198819881,-9.881988198819881
60,-9.87998799879988,-9.87998799879988,-9.87998799879988,-9.87998799879988,-9.87998799879988,-9.87998799879988,-9.87998799879988,-9.87998799879988,-9.87998799879988
61,-9.877987798779879,-9.877987798779879,-9.877987798779879,-9.877987798779879,-9.877987798779879,-9.877987798779879,-9.877987798779879,-9.877987798779879,-9.877987798779879
62,-9.875987598759876,-9.875987598759876,-9.875987598759876,-9.875987598759876,-9.875987598759876,-9.875987598759876,-9.875987598759876,-9.875987598759876,-9.875987598759876
63,-9.873987398739875,-9.873987398739875,-9.873987398739875,-9.873987398739875,-9.873987398739875,-9.873987398739875,-9.873987398739875,-9.873987398739875,-9.873987398739875
64,-9.871987198719872,-9.871987198719872,-9.871987198719872,-9.871987198719872,-9.871987198719872,-9.871987198719872,-9.871987198719872,-9.871987198719872,-9.871987198719872
65,-9.86998699869987,-9.86998699869987,-9.86998699869987,-9.86998699869987,-9.86998699869987,-9.86998699869987,-9.86998699869987,-9.86998699869987,-9.86998699869987
66,-9.867986798679867,-9.867986798679867,-9.867986798679867,-9.867986798679867,-9.867986798679867,-9.867986798679867,-9.867986798679867,-9.867986798679867,-9.867986798679867
67,-9.865986598659866,-9.865986598659866,-9.865986598659866,-9.865986598659866,-9.865986598659866,-9.865986598659866,-9.865986598659866,-9.865986598659866,-9.865986598659866
68,-9.863986398639865,-9.863986398639865,-9.863986398639865,-9.863986398639865,-9.863986398639865,-9.863986398639865,-9.863986398639865,-9.863986398639865,-9.863986398639865
69,-9.861986198619862,-9.861986198619862,-9.861986198619862,-9.861986198619862,-9.861986198619862,-9.861986198619862,-9.861986198619862,-9.861986198619862,-9.861986198619862
70,-9.85998599859986,-9.85998599859986,-9.85998599859986,-9.85998599859986,-9.85998599859986,-9.85998599859986,-9.85998599859986,-9.85998599859986,-9.85998599859986
71,-9.857985798579858,-9.857985798579858,-9.857985798579858,-9.857985798579858,-9.857985798579858,-9.857985798579858,-9.857985798579858,-9.857985798579858,-9.857985798579858
72,-9.855985598559856,-9.855985598559856,-9.855985598559856,-9.855985598559856,-9.855985598559856,-9.855985598559856,-9.855985598559856,-9.855985598559856,-9.855985598559856
73,-9.853985398539853,-9.853985398539853,-9.853985398539853,-9.853985398539853,-9.853985398539853,-9.853985398539853,-9.853985398539853,-9.853985398539853,-9.853985398539853
74,-9.851985198519852,-9.851985198519852,-9.851985198519852,-9.851985198519852,-9.851985198519852,-9.851985198519852,-9.851985198519852,-9.851985198519852,-9.851985198519852
75,-9.849984998499849,-9.849984998499849,-9.849984998499849,-9.849984998499849,-9.849984998499849,-9.849984998499849,-9.849984998499849,-9.849984998499849,-9.849984998499849
76,-9.847984798479848,-9.847984798479848,-9.847984798479848,-9.847984798479848,-9.847984798479848,-9.847984798479848,-9.847984798479848,-9.847984798479848,-9.847984798479848
77,-9.845984598459847,-9.845984598459847,-9.845984598459847,-9.845984598459847,-9.845984598459847,-9.845984598459847,-9.845984598459847,-9.845984598459847,-9.845984598459847
78,-9.843984398439844,-9.843984398439844,-9.843984398439844,-9.843984398439844,-9.843984398439844,-9.843984398439844,-9.843984398439844,-9.843984398439844,-9.843984398439844
79,-9.841984198419842,-9.841984198419842,-9.841984198419842,-9.841984198419842,-9.841984198419842,-9.841984198419842,-9.841984198419842,-9.841984198419842,-9.841984198419842
80,-9.83998399839984,-9.83998399839984,-9.83998399839984,-9.83998399839984,-9.83998399839984,-9.83998399839984,-9.83998399839984,-9.83998399839984,-9.83998399839984
81,-9.837983798379838,-9.837983798379838,-9.837983798379838,-9.837983798379838,-9.837983798379838,-9.837983798379838,-9.837983798379838,-9.837983798379838,-9.837983798379838
82,-9.835983598359835,-9.835983598359835,-9.835983598359835,-9.835983598359835,-9.835983598359835,-9.835983598359835,-9.835983598359835,-9.835983598359835,-9.835983598359835
83,-9.833983398339834,-9.833983398339834,-9.833983398339834,-9.833983398339834,-9.833983398339834,-9.833983398339834,-9.833983398339834,-9.833983398339834,-9.833983398339834
84,-9.831983198319833,-9.831983198319833,-9.831983198319833,-9.831983198319833,-9.831983198319833,-9.831983198319833,-9.831983198319833,-9.831983198319833,-9.831983198319833
85,-9.82998299829983,-9.82998299829983,-9.82998299829983,-9.82998299829983,-9.82998299829983,-9.82998299829983,-9.82998299829983,-9.82998299829983,-9.82998299829983
86,-9.827982798279828,-9.827982798279828,-9.827982798279828,-9.827982798279828,-9.827982798279828,-9.827982798279828,-9.827982798279828,-9.827982798279828,-9.827982798279828
87,-9.825982598259825,-9.825982598259825,-9.825982598259825,-9.825982598259825,-9.825982598259825,-9.825982598259825,-9.825982598259825,-9.825982598259825,-9.825982598259825
88,-9.823982398239824,-9.823982398239824,-9.823982398239824,-9.823982398239824,-9.823982398239824,-9.823982398239824,-9.823982398239824,-9.823982398239824,-9.823982398239824
89,-9.821982198219821,-9.821982198219821,-9.821982198219821,-9.821982198219821,-9.821982198219821,-9.821982198219821,-9.821982198219821,-9.821982198219821,-9.821982198219821
90,-9.81998199819982,-9.81998199819982,-9.81998199819982,-9.81998199819982,-9.81998199819982,-9.81998199819982,-9.81998199819982,-9.81998199819982,-9.81998199819982
91,-9.817981798179819,-9.817981798179819,-9.817981798179819,-9.817981798179819,-9.817981798179819,-9.817981798179819,-9.817981798179819,-9.817981798179819,-9.817981798179819
92,-9.815981598159816,-9.815981598159816,-9.815981598159816,-9.815981598159816,-9.815981598159816,-9.815981598159816,-9.815981598159816,-9.815981598159816,-9.815981598159816
93,-9.813981398139815,-9.813981398139815,-9.813981398139815,-9.813981398139815,-9.813981398139815,-9.813981398139815,-9.813981398139815,-9.813981398139815,-9.813981398139815
94,-9.811981198119812,-9.811981198119812,-9.811981198119812,-9.811981198119812,-9.811981198119812,-9.811981198119812,-9.811981198119812,-9.811981198119812,-9.811981198119812
95,-9.80998099809981,-9.80998099809981,-9.80998099809981,-9.80998099809981,-9.80998099809981,-9.80998099809981,-9.80998099809981,-9.80998099809981,-9.80998099809981
96,-9.807980798079807,-9.807980798079807,-9.807980798079807,-9.807980798079807,-9.807980798079807,-9.807980798079807,-9.807980798079807,-9.807980798079807,-9.807980798079807
97,-9.805980598059806,-9.805980598059806,-9.805980598059806,-9.805980598059806,-9.805980598059806,-9.805980598059806,-9.805980598059806,-9.805980598059806,-9.805980598059806
