"","quad_pt1","quad_pt2","quad_pt3","quad_pt4","quad_pt5","quad_pt6","quad_pt7","quad_pt8","quad_pt9","quad_pt10","quad_pt11","quad_pt12","quad_pt13","quad_pt14","quad_pt15","quad_pt16","quad_pt17","quad_pt18","quad_pt19","quad_pt20","quad_pt21","quad_pt22","quad_pt23","quad_pt24","quad_pt25","quad_pt26","quad_pt27","quad_pt28","quad_pt29","quad_pt30","quad_pt31","quad_pt32","quad_pt33","quad_pt34","quad_pt35","quad_pt36","quad_pt37","quad_pt38","quad_pt39","quad_pt40","quad_pt41","quad_pt42","quad_pt43","quad_pt44","quad_pt45","quad_pt46","quad_pt47","quad_pt48","weight","k"
"1",4.51676125494561e-06,2.18220152348159e-06,4.33297794574924e-06,1.14941332741116e-06,3.26100219095557e-06,2.31221449473247e-06,1.99847985775047e-06,8.07897291271701e-07,2.26863804139678e-06,1.78675772438076e-07,3.61421142967106e-06,2.09640388306628e-06,4.443251910534e-06,2.85181070486533e-06,3.23598126509668e-06,2.4575981067326e-06,2.98586771388164e-06,1.83722245299584e-06,-8.22048224412463e-08,1.37249907180055e-06,1.04841585198601e-06,1.01724808620299e-06,4.50630690602258e-06,-6.73084176914746e-08,-1.76977397415448e-06,-1.41514193627745e-06,1.32852740278759e-07,3.03176580982828e-06,-1.32940301266118e-06,3.59554691969724e-06,2.7364587179121e-06,-2.35762227547963e-07,-1.25719860101968e-06,-2.01471760678637e-06,2.44287326970608e-06,8.30919222454038e-07,1.81635801158913e-06,-1.07252522807325e-06,4.23290958553028e-07,2.25297568330814e-06,-1.34480899587943e-06,1.69081957520896e-07,1.41608283404803e-07,-6.93972822046492e-07,-1.13273245375663e-07,-3.32323838580875e-07,-1.69919792002839e-06,-1.6756357741355e-06,1,1
"2",-0.000192992990006114,-0.000193684307196755,-0.000192855223317094,-0.000193655002547141,-0.00019295635832807,-0.000193459363506938,-0.000193657895184697,-0.000195694524155781,-0.000194030233730206,-0.00019570297063707,-0.000193438183963607,-0.000193546687640414,-0.000192983166248133,-0.000194468957768013,-0.000193329076929777,-0.000194142287293764,-0.00019381170269989,-0.000194484842389047,-0.000194174005981585,-0.000194567298748158,-0.000196090841597441,-0.000194293527451028,-0.000192967208887168,-0.00019456765383761,-0.000197854278986407,-0.000197138253682964,-0.000195628725671192,-0.000193672970106977,-0.000197491736721041,-0.000193746152983641,-0.000193846269428591,-0.000194724574731333,-0.000196322075222705,-0.000197300734613611,-0.000194427169237298,-0.000196167653760477,-0.000194467819170024,-0.000196358682873324,-0.000195118324967293,-0.000193932578916498,-0.000196168921305624,-0.000195324612883286,-0.000195679705776802,-0.000196232193920573,-0.000197209374120479,-0.000196707981956084,-0.000197327143039771,-0.000197942182170611,0.5,2
"3",-6.0277972513684e-05,-6.07977526207948e-05,-3.70848295023706e-05,-5.90782912370263e-05,-6.08512411950096e-05,-4.15302187317667e-05,-6.46213711031127e-05,5.08350391854275e-05,-4.37777699000302e-05,5.69949829319073e-06,-4.1657409853642e-05,-6.13598224288377e-05,-6.16861871532393e-05,5.5465629548606e-05,-4.5164130719865e-05,5.59659705592791e-05,1.36827576442983e-05,5.10018854270503e-05,-6.57611046213481e-05,7.32427762118892e-05,7.29355485162525e-05,-4.02731022351127e-05,-3.77531850771694e-05,-4.67798359503447e-05,6.94898624952673e-05,7.08800947736842e-05,3.41549700762901e-05,-4.57342674626343e-05,6.82696161024103e-05,1.3902919338077e-05,7.96351743888891e-06,-5.31056479162164e-05,-4.74262803710541e-06,2.60543770935169e-05,9.5210884955786e-06,4.6525116090036e-05,4.2843016731897e-06,4.09307319184788e-05,4.10558096218654e-05,3.47809003376795e-06,4.31599590766888e-06,7.15648110500836e-05,1.271601264094e-05,6.74494843555092e-05,7.18869430701392e-05,4.70961029517982e-05,6.55815479752863e-05,6.38701034053664e-05,0.5,2
"4",-4.07479608584831e-05,5.07495512634185e-05,-6.07098623779021e-05,5.3713903493969e-05,-3.9436819531607e-05,1.23161388963449e-05,-4.00394268512371e-05,-5.95552379409342e-05,-6.18199222182643e-05,-4.45062716669736e-05,-6.20659404794386e-05,5.18297958514996e-05,-4.09181748776008e-05,-6.03210203415498e-05,9.44954266814456e-06,-6.07020798714653e-05,-4.56283349778427e-05,-6.25002776396771e-05,5.10084835688565e-05,-4.43416686836963e-05,-4.10961029408651e-05,7.19395861844607e-05,-6.18145654754094e-05,7.04402323435525e-05,6.54780154472922e-05,6.43713725795172e-05,3.98751171604456e-05,7.7836176271281e-06,6.89982540075472e-05,-4.55763584355912e-05,-4.85575868734618e-05,8.45545290301526e-06,3.71490936766691e-06,4.09895699701576e-05,4.09531630392707e-06,3.33595827190109e-05,2.44742252038718e-06,6.32301434795104e-05,2.88119081827432e-05,-8.01246209341768e-08,6.86863090228846e-05,6.23532964903719e-06,7.02938962894007e-05,4.0593205059299e-05,1.05140732610762e-05,6.61307354519347e-05,6.77545108533486e-05,4.31200618612363e-05,0.5,2
"5",-2.01987001113287e-05,8.96576299449711e-06,-2.81718615800824e-06,2.67581365491407e-05,-3.49595238064281e-06,2.43908453441471e-05,-2.03655346994286e-05,6.80666941071393e-06,-2.19339358135596e-05,-1.90461947370389e-05,-6.17611339535573e-06,2.68379387438736e-05,-5.5594919873435e-06,2.71043686836557e-05,2.35528512688105e-05,1.09239766016828e-05,-1.48549821652548e-05,2.54837228138228e-05,1.04800080590185e-05,1.89375435696863e-05,1.61504450125123e-05,1.51362508067998e-05,-1.89573535557685e-05,1.72644253346436e-05,-2.83623951795862e-05,-2.74920029747981e-05,-2.71924559598948e-05,-1.59695559216597e-05,-2.59840755928192e-05,2.38150519016184e-05,2.14634544037759e-05,-1.5643282547203e-05,-2.77428341385217e-05,-2.78682664868285e-05,2.81560140828237e-05,1.15028777496277e-05,-2.59547609854332e-05,-6.48929249187671e-06,1.44531945175175e-05,2.85539031944853e-05,-6.05559663464077e-06,1.50339894101948e-06,-8.54799015073899e-06,-2.34371458400798e-05,-2.0807679286668e-06,-9.45873750106104e-06,-2.45738257832989e-05,-2.56984384361823e-05,0.5,2
"6",-3.38924802673053e-06,2.73959192703236e-05,-1.96162459305038e-05,9.34277695150692e-06,-2.02237965990417e-05,-1.62242824198636e-05,-5.21384494217392e-06,2.6133250195841e-05,-4.88042142045095e-06,2.24448007730977e-05,-1.88487698286944e-05,1.11190278201024e-05,-1.83781019250481e-05,1.02364045690923e-05,-1.38414236154823e-05,2.70354278759371e-05,2.39446774156114e-05,1.09311023647333e-05,2.58855082263024e-05,1.71712040953921e-05,1.58400977886986e-05,1.81176561954068e-05,-3.97482789494117e-06,1.83951259826651e-05,-2.55971411236165e-05,-2.50803605282793e-05,1.26629310518992e-05,2.32514988726461e-05,-2.80067648381406e-05,-1.487942224624e-05,-1.3506662625314e-05,2.11222853773674e-05,2.62473126432298e-05,1.14157932515672e-05,-2.58170372775604e-05,-2.69627241519961e-05,2.80989764750868e-05,-2.33575347191763e-05,-2.50703259445902e-05,-2.36424517682899e-05,3.6804362801691e-09,-6.07747905381909e-06,-1.71389805319685e-07,-7.74610400189327e-06,-7.79352699792104e-06,-2.43809273619601e-05,-2.76203048717818e-05,-8.99786854635637e-06,0.5,2
"7",-2.40435770270499e-05,-2.90404880654536e-05,-5.38826747403021e-05,-3.41708877547793e-05,-2.58035266006775e-05,-5.26986762676993e-05,2.5912902219627e-05,5.23486302468528e-05,5.67183931743252e-05,7.16500472040151e-05,5.85579047064605e-05,3.42908246567097e-05,2.88349188737338e-05,-4.6853209358862e-05,5.5424755131256e-05,-4.48530461525292e-05,-6.7671591502215e-05,5.56637878597877e-05,2.79351141846172e-05,6.93968813059221e-06,8.63369548928792e-07,-5.52308308105874e-05,-5.32096533467858e-05,5.41348537807432e-05,9.46778455186207e-06,-9.55928563710968e-06,-6.26545717084571e-05,-4.81678013204186e-05,-2.39313714487245e-05,-6.83195459582471e-05,7.52934607104294e-05,4.79956205953896e-05,6.97335986072447e-05,6.23667509952169e-05,-6.96510300949737e-05,-5.67749449733519e-05,-6.90809003705527e-05,5.65730729446741e-05,6.02464922886368e-05,7.45270370340871e-05,6.91570554935461e-05,1.25593666330953e-05,-7.007572586935e-05,-2.50505250403848e-05,-8.2307858382103e-06,-5.61101692488815e-05,2.37718907322534e-05,2.60318273868698e-05,0.5,2
"8",5.8055320743491e-05,5.34618420416476e-05,-2.31640047353377e-05,-4.54963347259674e-05,-5.21394483159754e-05,-6.6867753347483e-05,-5.36434243337886e-05,-3.54971145920214e-05,-2.5590025577709e-05,-5.40350279719406e-05,2.70315458240855e-05,5.19198895934358e-05,5.75379981907192e-05,-2.95587024035117e-05,7.27567609910443e-05,3.27816909113066e-05,5.34592155849293e-05,2.79508160905281e-05,-4.80579061131215e-05,5.35629832678733e-05,-5.62674428657527e-05,5.12927614102859e-06,2.84824082729297e-05,2.13566726627464e-07,-2.352170498347e-05,2.4166202259834e-05,5.82279887967599e-05,7.29695667543344e-05,-9.27391185643565e-06,-4.74285991683688e-05,4.93545246936679e-05,-6.94283640423123e-05,-7.13180725052634e-05,-5.78228437287005e-05,-6.80048904069691e-05,-6.20436232851183e-05,7.18056760699633e-05,2.73262243533816e-05,6.42261995905425e-05,7.17511555258205e-05,-8.13025292275437e-06,6.95306109326486e-05,1.12007483329264e-05,5.61444644566366e-05,-7.0397787709e-05,-2.50223120483411e-05,1.03247238592269e-05,-5.64715683204331e-05,0.5,2
"9",1.6311502508578e-05,2.77212444945616e-05,-2.13834229245337e-05,-4.17253324885389e-06,-2.25074604878406e-05,-1.15942252622787e-05,-1.28982648508813e-05,2.63618709384007e-05,1.34834829874038e-05,1.8361121245293e-05,2.83915172359213e-05,1.12684802091599e-05,2.92900521302342e-05,-4.7771289289462e-06,2.0396988677529e-05,-2.17400998972126e-05,-1.75364592137217e-05,1.31866984350339e-05,-2.40988007842807e-05,-1.70121707142707e-05,2.20606544737986e-05,2.30246190196893e-05,-9.85110242412002e-06,-1.9572125194149e-05,1.52949127183466e-06,-8.31453238397136e-06,3.28041726757118e-06,2.25793756591059e-05,9.20936966819604e-06,-1.22645033764382e-05,2.16294805940483e-05,-2.19501657116611e-05,-4.48174530914773e-06,-8.71364197699688e-06,4.7033707121029e-06,2.43808617345316e-05,1.46319240787587e-06,-2.65872209501188e-05,-2.11781443562678e-05,3.91533209684259e-06,-2.7102637196014e-05,-2.55492351630648e-05,2.51573678645135e-05,-1.52085660785755e-05,2.58204456475892e-05,2.43132725137008e-05,-1.5474675876564e-05,9.70353285111892e-06,0.5,2
"10",-2.08052771177659e-05,-7.02829664355151e-06,-9.51577156166624e-06,2.60763250313757e-05,1.58290507301459e-05,2.13057244379038e-05,2.74900393146201e-05,8.44510557547832e-06,2.80230069544655e-05,1.6265873551266e-05,1.735944723672e-05,-2.2214785939234e-05,-8.13153097872926e-06,-2.23545948125532e-05,-1.56064343063134e-05,-4.71639013280882e-06,-1.25958734740405e-05,2.72698130003129e-05,9.97100969437738e-06,2.26878753541679e-05,-1.99060633579716e-05,2.07954696112724e-05,-2.11025402490856e-05,-1.90728804478498e-05,-1.3962823337157e-05,1.09127588467715e-05,2.28646017463368e-05,-1.42461442446481e-05,3.6277750779432e-06,-1.77506016374223e-05,2.40495747860659e-05,1.77108884124335e-05,-9.91350630863311e-07,-2.41578174384807e-05,2.72433023372046e-07,-4.76815588076536e-06,2.2522617110885e-06,-1.34769366534695e-05,6.04148863928103e-06,4.38941920188387e-06,-2.65473809164244e-05,2.61876532019988e-05,2.58519109290177e-05,2.47338831471618e-05,-2.58944095255899e-05,1.2228042053829e-05,-6.54557999913494e-06,-2.68061057133404e-05,0.5,2
